pitch,roll,label
12,-1,0
12,-2,0
11,-1,0
11,-1,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
11,0,0
11,0,0
11,0,0
10,0,0
10,0,0
10,-1,0
10,-1,0
10,-1,0
10,-1,0
10,-2,0
10,-2,0
10,-2,0
10,-2,0
11,-2,0
11,-2,0
11,-2,0
11,-2,0
11,-1,0
11,-1,0
12,-1,0
12,-1,0
12,-2,0
12,-2,0
12,-3,0
12,-4,0
13,-5,0
13,-6,0
13,-7,0
13,-8,0
13,-9,0
13,-9,0
13,-9,0
12,-9,0
12,-9,0
12,-9,0
12,-9,0
12,-8,0
12,-7,0
12,-6,0
13,-5,0
14,-5,0
14,-4,0
15,-3,0
16,-2,0
17,-2,0
18,-2,0
19,-2,0
20,-2,0
21,-2,0
21,-3,0
20,-3,0
20,-4,0
19,-4,0
19,-5,0
18,-5,0
17,-6,0
16,-7,0
15,-7,0
14,-8,0
13,-8,0
13,-8,0
12,-8,0
11,-7,0
11,-7,0
11,-6,0
11,-5,0
11,-5,0
11,-4,0
12,-4,0
12,-3,0
12,-2,0
13,-2,0
14,-1,0
15,-1,0
15,-1,0
16,-1,0
17,-1,0
17,-1,0
16,-1,0
16,-1,0
15,-1,0
15,-1,0
14,-1,0
13,-2,0
12,-2,0
11,-3,0
11,-4,0
11,-4,0
11,-5,0
11,-5,0
11,-5,0
11,-5,0
11,-4,0
12,-4,0
13,-4,0
13,-4,0
13,-4,0
14,-4,0
14,-3,0
15,-3,0
16,-3,0
16,-3,0
18,-2,0
19,-2,0
20,-2,0
20,-2,0
20,-2,0
20,-2,0
19,-2,0
18,-3,0
18,-3,0
16,-4,0
15,-6,0
13,-7,0
13,-8,0
12,-9,0
11,-11,0
10,-12,0
10,-13,0
10,-13,0
10,-13,0
10,-13,0
9,-12,0
9,-11,0
9,-10,0
8,-9,0
8,-8,0
8,-6,0
8,-5,0
8,-4,0
9,-3,0
9,-2,0
10,-1,0
11,-1,0
13,0,0
15,0,0
16,0,0
18,0,0
19,0,0
20,0,0
20,0,0
21,0,0
21,-1,0
21,-1,0
21,-2,0
20,-3,0
20,-4,0
20,-5,0
19,-6,0
19,-7,0
18,-8,0
18,-9,0
17,-9,0
18,-10,0
17,-13,0
17,-17,0
16,-15,0
15,-12,0
14,-13,0
13,-13,0
12,-9,0
11,-7,0
11,-7,0
11,-6,0
11,-5,0
11,-5,0
11,-3,0
11,-3,0
11,-3,0
11,-3,0
11,-3,0
11,-3,0
12,-3,0
12,-4,0
12,-4,0
12,-4,0
13,-6,0
13,-8,0
13,-9,0
13,-11,0
13,-12,0
14,-14,0
15,-16,0
17,-17,0
18,-18,0
18,-17,0
17,-15,0
17,-13,0
16,-10,0
16,-7,0
16,-5,0
17,-4,0
17,-3,0
17,-2,0
16,0,0
15,0,0
14,1,0
14,0,0
15,0,0
14,-2,0
14,-2,0
13,-4,0
13,-6,0
13,-10,0
13,-14,0
12,-16,0
11,-18,0
11,-19,0
11,-20,0
11,-21,0
11,-22,0
10,-22,0
9,-21,0
9,-19,0
9,-16,0
9,-13,0
10,-10,0
12,-7,0
13,-5,0
13,-3,0
14,-1,0
14,1,0
15,3,0
16,4,0
18,5,0
18,6,0
19,6,0
20,6,0
20,5,0
20,4,0
20,3,0
20,1,0
19,-1,0
18,-3,0
17,-5,0
16,-7,0
15,-8,0
14,-9,0
14,-10,0
13,-11,0
11,-12,0
10,-13,0
9,-13,0
8,-14,0
8,-13,0
7,-13,0
8,-12,0
8,-10,0
8,-8,0
8,-6,0
9,-4,0
9,-2,0
10,-1,0
11,0,0
12,2,0
12,4,0
13,6,0
13,7,0
14,8,0
15,9,0
17,9,0
17,9,0
18,10,0
18,9,0
18,8,0
17,5,0
17,3,0
16,2,0
15,0,0
14,0,0
13,-1,0
12,-3,0
12,-5,0
11,-6,0
11,-7,0
10,-8,0
10,-8,0
9,-8,0
9,-8,0
10,-8,0
10,-8,0
11,-7,0
13,-5,0
14,-4,0
12,-10,1
12,-10,1
12,-10,1
12,-10,1
12,-10,1
12,-10,1
12,-10,1
12,-10,1
12,-10,1
12,-10,1
11,-10,1
11,-10,1
11,-10,1
12,-11,1
12,-11,1
12,-13,1
13,-16,1
13,-19,1
14,-22,1
14,-26,1
14,-29,1
14,-33,1
14,-36,1
14,-39,1
14,-40,1
14,-41,1
14,-42,1
14,-43,1
14,-44,1
14,-45,1
14,-45,1
14,-46,1
14,-47,1
14,-47,1
14,-48,1
14,-48,1
14,-49,1
14,-49,1
14,-50,1
14,-50,1
14,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
13,-50,1
12,-50,1
12,-50,1
12,-50,1
12,-50,1
12,-50,1
12,-50,1
12,-50,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-49,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
12,-48,1
11,-48,1
11,-48,1
11,-48,1
12,-48,1
11,-48,1
11,-48,1
11,-47,1
